chemical,importance,quality
Acetic acid,Top,----
Chlorine,Top,----
Hydrochloric acid,Top,----
Adenosine triphosphate,High,----
Aspirin,High,----
CS gas,High,----
Methamphetamine,High,----
Nickel,High,----
Nicotinamide adenine dinucleotide,High,----
Plutonium,High,----
Salt,High,----
Silicon carbide,High,----
Vitamin C,High,----
"2,3,7,8-Tetrachlorodibenzodioxin ",Mid,----
Adderall,Mid,----
Amphetamine,Mid,----
Bupropion,Mid,----
Dopamine,Mid,----
Doxorubicin,Mid,----
Hexamethylbenzene,Mid,----
Mephedrone,Mid,----
Norepinephrine,Mid,----
Pest control,Mid,----
Psilocybin,Mid,----
Alprazolam,Low,----
Benzodiazepine,Low,----
Beta-Hydroxy beta-methylbutyric acid,Low,----
Boron nitride,Low,----
Calitoxin,Low,----
Chevreuls salt,Low,----
Cysteine (data page),Low,----
Anthochlor pigments,Unknown,----
Aluminium chloride,High,A
Iron,High,A
Titanium tetrachloride,High,A
Caesium fluoride,Mid,A
Copper,Mid,A
Lead,Mid,A
Phosphoryl chloride,Mid,A
Tin,Mid,A
Zinc oxide,Mid,A
Rhodocene,Low,A
Acetylene,Top,B
Ammonia,Top,B
Benzene,Top,B
Carbon monoxide,Top,B
Ethane,Top,B
Ethanol,Top,B
Ethylene,Top,B
Hydrogen peroxide,Top,B
Methane,Top,B
Methanol,Top,B
Nitric acid,Top,B
Oxalic acid,Top,B
Phosphoric acid,Top,B
Silicon dioxide,Top,B
Sodium bicarbonate,Top,B
Sodium chloride,Top,B
Sodium hydroxide,Top,B
Sulfuric acid,Top,B
Toluene,Top,B
"1,2-Dichloroethane ",High,B
"1,3-Butadiene ",High,B
"1,4-Butanediol ",High,B
Acetaldehyde,High,B
Acetone,High,B
Aciclovir,High,B
Adamantane,High,B
Aluminium hydride,High,B
Aluminium oxide,High,B
Aniline,High,B
Antimony trioxide,High,B
Arsenic trioxide,High,B
Ascorbic acid,High,B
Aspartame,High,B
Atropine,High,B
Barium chloride,High,B
Benzaldehyde,High,B
Benzoic acid,High,B
Bisphenol A,High,B
Buckminsterfullerene,High,B
Butane,High,B
Calcium carbonate,High,B
Calcium fluoride,High,B
Calcium sulfate,High,B
Capsaicin,High,B
Carbon disulfide,High,B
Carbon tetrachloride,High,B
Carbonic acid,High,B
Cellulose,High,B
Chloramine,High,B
Chlorine dioxide,High,B
Chloroform,High,B
Cholesterol,High,B
Citric acid,High,B
Codeine,High,B
Compounds of oxygen,High,B
Cyclooctatetraene,High,B
Cyclopentadiene,High,B
Cyclopropane,High,B
DDT,High,B
Dextrin,High,B
Diazepam,High,B
Dimethyl sulfate,High,B
Docosahexaenoic acid,High,B
Epinephrine,High,B
Ethyl acetate,High,B
Ethylene oxide,High,B
Ethylenediamine,High,B
Ferrocene,High,B
Fluoxetine,High,B
Formaldehyde,High,B
Formic acid,High,B
Fructose,High,B
Furan,High,B
Gamma-Hydroxybutyric acid,High,B
Glucose 6-phosphate,High,B
Glyphosate,High,B
Graphite,High,B
Heavy water,High,B
Hydrazine,High,B
Hydrogen chloride,High,B
Hydrogen cyanide,High,B
Hydrogen fluoride,High,B
Hydroxylamine,High,B
Indigo dye,High,B
Indole,High,B
Iron,High,B
Isopropyl alcohol,High,B
Kevlar,High,B
Lactic acid,High,B
Limonene,High,B
List of largest chemical producers,High,B
Lithium aluminium hydride,High,B
Menthol,High,B
Methyl iodide,High,B
Methyl tert-butyl ether,High,B
Methylene diphenyl diisocyanate,High,B
Methylmercury,High,B
Nicotine,High,B
Nitric oxide,High,B
Paraquat,High,B
Paris green,High,B
Pesticide,High,B
Phenol,High,B
Phenylalanine,High,B
Phosgene,High,B
Phosphine,High,B
Phosphorus trichloride,High,B
Piperidine,High,B
Poly,High,B
Polycarbonate,High,B
Polyethylene terephthalate,High,B
Polypropylene,High,B
Polystyrene,High,B
Polytetrafluoroethylene,High,B
Polyurethane,High,B
Polyvinyl chloride,High,B
Potassium bromide,High,B
Potassium chloride,High,B
Potassium cyanide,High,B
Potassium iodide,High,B
Potassium permanganate,High,B
Pyridine,High,B
Pyrrole,High,B
Retinol,High,B
Saccharin,High,B
Serotonin,High,B
Sodium acetate,High,B
Sodium carbonate,High,B
Sodium peroxide,High,B
Sodium silicate,High,B
Sodium sulfate,High,B
Sorbitol,High,B
Stearic acid,High,B
Stibine,High,B
Sucrose,High,B
Sulfur hexafluoride,High,B
Testosterone,High,B
Tetrafluoromethane,High,B
Tetrahydrofuran,High,B
Thiazole,High,B
Titanium dioxide,High,B
Uracil,High,B
Uranium trioxide,High,B
Vanadium oxytrichloride,High,B
Vanillin,High,B
Vitamin K,High,B
Water,High,B
Zinc chloride,High,B
"1,1,1,2-Tetrafluoroethane ",Mid,B
"1,1,1-Trichloroethane ",Mid,B
"1,2-Bis",Mid,B
"1,3-Dichloropropene ",Mid,B
"1,4-Butynediol ",Mid,B
"1,8-Bis",Mid,B
1-Propanol,Mid,B
"2,2'-Bipyridine ",Mid,B
"2,4,6-Trinitroaniline ",Mid,B
5-Hydroxytryptophan,Mid,B
Acetic anhydride,Mid,B
Acetone peroxide,Mid,B
Acetylacetone,Mid,B
Acetylcholine,Mid,B
Acrylamide,Mid,B
Alpha-Linolenic acid,Mid,B
Alpha-Parinaric acid,Mid,B
Aluminium bromide,Mid,B
Amiodarone,Mid,B
Amoxicillin,Mid,B
Anabolic steroid,Mid,B
Anthracene,Mid,B
Anthraquinone,Mid,B
Apomorphine,Mid,B
Aprotinin,Mid,B
Arginine,Mid,B
Arsenic trisulfide,Mid,B
Arsine,Mid,B
Artemisinin,Mid,B
Aziridine,Mid,B
Barium bromide,Mid,B
Barrelene,Mid,B
Berberine,Mid,B
Biotin,Mid,B
Borax,Mid,B
Borazine,Mid,B
Boric acid,Mid,B
Bullvalene,Mid,B
Cadmium sulfide,Mid,B
Caesium chloride,Mid,B
Caffeine,Mid,B
Camphor,Mid,B
Captopril,Mid,B
Carbon nanotube,Mid,B
Carbonyl sulfide,Mid,B
Carbonyldiimidazole,Mid,B
Carboplatin,Mid,B
Carotene,Mid,B
Carvacrol,Mid,B
Carvone,Mid,B
Ceric ammonium nitrate,Mid,B
Cerium,Mid,B
Chloramphenicol,Mid,B
Chloroplatinic acid,Mid,B
Choline,Mid,B
Chromium,Mid,B
Ciclosporin,Mid,B
Cisplatin,Mid,B
Clozapine,Mid,B
Cobalt,Mid,B
Cocaine,Mid,B
Coenzyme Q10,Mid,B
Coltan,Mid,B
Copper,Mid,B
Copper,Mid,B
Copper,Mid,B
Copper,Mid,B
Copper,Mid,B
Cortisol,Mid,B
Cortisone,Mid,B
Curcumin,Mid,B
